[ 2025-04-23 11:01:07,465 ] 14 root - INFO - Initiate the data ingestion
[ 2025-04-23 11:01:09,909 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-04-23 11:01:09,910 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-04-23 11:01:09,910 ] 75 root - INFO - Exporting train and test file path.
[ 2025-04-23 11:01:10,003 ] 84 root - INFO - Exported train and test file path.
[ 2025-04-23 11:01:10,004 ] 16 root - INFO - Data Initiation Completed
[ 2025-04-23 11:01:10,017 ] 20 root - INFO - Initiate the data Validation
[ 2025-04-23 11:01:10,053 ] 32 root - INFO - Required number of columns:2
[ 2025-04-23 11:01:10,054 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-23 11:01:10,054 ] 32 root - INFO - Required number of columns:2
[ 2025-04-23 11:01:10,054 ] 33 root - INFO - Data frame has columns:31
[ 2025-04-23 11:01:10,266 ] 22 root - INFO - data Validation Completed
